code,AGR,MINING,UTIL_CONST,MANUF,TRADE_TRANSP,INFO,FIRE,PROF_OTHER,EDUC_ENT,G
AGR,0.296317,0.000305,0.001306,0.059237,0.000646,0.0,0.0,0.000762,0.003086,0.002337
MINING,0.002911,0.095554,0.024401,0.068242,0.000148,0.001076,2.3e-05,0.000874,0.001002,0.007303
UTIL_CONST,0.020135,0.02856,0.019095,0.0145,0.016444,0.009027,0.0207,0.006633,0.014483,0.038535
MANUF,0.195776,0.154805,0.28784,0.375695,0.068117,0.049602,0.012521,0.064037,0.095634,0.134734
TRADE_TRANSP,0.003063,0.002507,0.00415,0.008722,0.07789,0.00906,0.008468,0.010543,0.008554,0.013296
INFO,0.000757,0.001262,0.005923,0.003894,0.011245,0.126955,0.009786,0.025012,0.016088,0.03472
FIRE,0.022778,0.055656,0.036878,0.024043,0.116683,0.063658,0.198792,0.085622,0.116916,0.033934
PROF_OTHER,0.007031,0.099222,0.058334,0.043069,0.132426,0.132903,0.104033,0.142004,0.112034,0.100477
EDUC_ENT,0.000938,0.000628,0.001883,0.001242,0.008489,0.022707,0.0161,0.017735,0.038879,0.016693
G,1.6e-05,4e-06,0.000281,0.000766,0.006065,0.001157,0.001848,0.00189,0.003991,0.002985
