,Commodities/Industries,11,21,22,23,31G,42,44RT,48TW,51,FIRE,PROF,6,7,81,G,T007,MCIF,MADJ,T013,Trade,Trans,T014,MDTY,TOP,SUB,T015,T016
,Name,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government,Total Commodity Output,Imports,CIF/FOB Adjustments on Imports,Total product supply (basic prices),Trade margins,Transport margins,Total trade and transportation margins,Import duties,Tax on products,Subsidies on products,Total tax less subsidies on products,Total product supply (purchaser prices)
11,"Agriculture, forestry, fishing, and hunting",625867,---,---,---,---,95,285,900,---,---,---,---,---,---,5279,632427,76432,---,708859,194851,83795,278646,337,12871,-9631,3578,991083
21,Mining,---,624928,133,---,757,---,---,---,---,---,326,---,---,---,901,627045,183678,---,810723,35312,103131,138444,151,25766,---,25917,975084
22,Utilities,---,---,588294,---,---,---,---,232,---,---,---,---,---,---,194704,783230,3474,---,786704,---,---,---,---,36161,---,36161,822864
23,Construction,979,20821,2825,2332558,18333,10176,7035,685,2295,30602,2326,3500,4033,641,28563,2465373,---,---,2465373,---,---,---,---,2967,---,2967,2468340
31G,Manufacturing,13,46949,---,---,6823052,1608,16531,---,2699,---,2043,---,---,---,10701,6903595,2481796,---,9385392,4063039,350311,4413350,81008,491639,-508,572138,14370880
42,Wholesale trade,---,2253,1816,---,68736,2409470,---,0,8119,---,138,---,49,677,---,2491260,---,---,2491260,-2368506,---,-2368506,---,0,---,0,122754
44RT,Retail trade,---,---,1072,---,---,---,2277027,14,7959,4574,6869,13750,9229,7198,10849,2338540,---,---,2338540,-2321947,---,-2321947,---,0,---,0,16593
48TW,Transportation and warehousing,---,---,4415,---,---,1251,0,1694904,---,1838,657,---,---,---,43361,1746426,64835,-29225,1782035,---,-588294,-588294,---,34435,-12128,22307,1216049
51,Information,---,---,---,---,---,---,928,---,1922972,---,125264,---,204,993,4114,2054476,23167,---,2077643,169248,9045,178293,43,49747,---,49791,2305727
FIRE,"Finance, insurance, real estate, rental, and leasing",---,---,---,---,14,16521,6830,1566,9364,9242246,1829,1253,6323,2727,139320,9427994,76350,-937,9503406,---,---,---,---,64786,-68840,-4054,9499352
PROF,Professional and business services,0,638,563,449,263408,10140,15077,20437,517873,21060,5370595,64455,11850,2770,197305,6496618,177888,---,6674506,---,---,---,3,56290,---,56294,6730800
6,"Educational services, health care, and social assistance",---,---,---,---,---,---,160,86,696,4,591,3620248,6270,12,455887,4083953,13084,---,4097037,---,---,---,---,10365,-6,10359,4107396
7,"Arts, entertainment, recreation, accommodation, and food services",3473,---,---,---,---,---,53142,265,38,82,---,43412,2003982,3899,102414,2210707,2152,---,2212858,---,---,---,---,143698,---,143698,2356557
81,"Other services, except government",---,---,---,---,457,100969,90169,1298,931,1815,8115,17,5793,977344,5139,1192046,4492,---,1196539,---,---,---,9,27009,---,27018,1223557
G,Government,---,---,5688,---,---,---,---,---,---,---,---,---,---,---,3935421,3941109,233,---,3941342,---,---,---,---,0,---,0,3941342
Used,"Scrap, used and secondhand goods",---,---,---,---,7228,---,---,---,---,---,1801,---,18,---,5412,14458,19530,---,33988,228002,42012,270013,80,25289,---,25369,329371
Other,Noncomparable imports and rest-of-the-world adjustment,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6010,6010,339956,---,345967,---,---,---,---,0,---,0,345967
,Total industry supply,630332,695589,604806,2333007,7181984,2550230,2467185,1720386,2472947,9302220,5520554,3746635,2047750,996260,5145380,47415266,3467068,-30163,50852172,0,0,0,81633,981024,-91114,971542,51823715
