,Commodities/Industries,11,21,22,23,31G,42,44RT,48TW,51,FIRE,PROF,6,7,81,G,T001,F010,F020,F030,F040,F100,T019
,Name,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government,Total Intermediate,Personal consumption expenditures,Private fixed investment,Change in private inventories,Exports of goods and services,Government consumption expenditures and gross investment,Total use of products
11,"Agriculture, forestry, fishing, and hunting",186778,212,---,3837,425439,1167,3146,41,---,2,4841,323,17561,125,12026,655499,256754,---,-1051,79881,---,991083
21,Mining,1835,66466,38896,32790,490112,104,211,681,2661,216,3893,2595,3213,1800,37577,683050,342,106768,5178,179747,---,975084
22,Utilities,10595,15124,35503,14401,78472,18886,50310,14420,16918,54207,21316,27761,39273,10024,54843,462054,355771,---,---,5039,---,822864
23,Construction,2097,4742,5669,525,25667,5837,12756,8590,5405,138348,6036,7395,9490,5848,143436,381840,---,1639023,---,123,447353,2468340
31G,Manufacturing,123404,107681,28347,817273,2698239,174188,96835,187935,122663,116471,338990,345571,208568,78327,693259,6137752,5213769,1454332,28640,1326252,210134,14370880
42,Wholesale trade,997,583,1431,139,29685,45020,20934,345,3093,15749,567,185,161,89,38,119013,---,---,---,3741,---,122754
44RT,Retail trade,---,---,---,---,---,---,2156,---,---,---,---,---,---,0,0,2156,14437,---,---,---,---,16593
48TW,Transportation and warehousing,934,1161,9205,1416,32957,136579,109558,210215,19312,63026,64480,33005,16214,3574,68375,770012,374535,---,---,71502,---,1216049
51,Information,477,878,5706,11695,27967,22380,42497,10892,313952,91034,144331,41992,51227,18669,178649,962346,804194,396461,-3433,91740,54418,2305727
FIRE,"Finance, insurance, real estate, rental, and leasing",14358,38714,21867,86473,172676,269672,321275,195242,157423,1849205,428510,402190,275269,129473,174601,4536948,4456948,203981,---,301476,---,9499352
PROF,Professional and business services,4079,68574,32138,128143,291912,432378,289577,108397,319284,902700,772557,368044,231650,91129,436275,4476835,381221,1266952,---,308602,297191,6730800
6,"Educational services, health care, and social assistance",2,---,26,1,7,2003,4123,116,36,60,667,39964,6152,3886,38269,95311,3995397,---,---,16688,---,4107396
7,"Arts, entertainment, recreation, accommodation, and food services",589,437,3137,2368,8916,23391,14134,13431,56118,149703,105580,100584,78579,5445,47623,610035,1732304,9818,---,4400,---,2356557
81,"Other services, except government",353,444,1127,9966,17410,25186,17341,19380,9377,65040,53137,28630,20844,8590,80719,357545,865906,---,---,105,---,1223557
G,Government,10,3,816,9,5501,22704,9831,8330,2860,17191,10515,9282,13841,1802,15359,118054,98861,---,---,473,3723954,3941342
Used,"Scrap, used and secondhand goods",224,1418,8894,4121,46220,---,332,3340,0,0,192,1442,-16,64019,-38,130147,305560,-147225,12362,51058,-22531,329371
Other,Noncomparable imports and rest-of-the-world adjustment,778,1270,998,2178,19321,8124,5559,25538,10312,62318,9378,960,5086,4345,11339,167503,-33227,12955,---,198736,---,345967
T005,Total Intermediate,347510,307706,193762,1115337,4370499,1187619,1000574,806892,1039415,3525271,1964990,1409924,977110,427143,1992349,20666102,18822770,4943065,41695,2639563,4710519,51823715
V001,Compensation of employees,71495,87258,97380,744011,1324936,706712,804744,543297,540316,1276846,2590723,1903573,697929,411400,2408949,14209568,---,---,---,---,---,---
T00OTOP,Other taxes on production,14594,37105,44034,11800,77117,17661,30108,23445,21041,434778,37001,45011,22714,14044,---,830452,---,---,---,---,---,---
T00OSUB,Less: Other subsidies on production,0,0,0,0,0,0,0,101,0,1432,25,10137,0,0,---,11694,---,---,---,---,---,---
V003,Gross operating surplus,196734,263520,269631,461859,1409433,638238,631759,346853,872176,4066757,927864,398264,349997,143672,744082,11720838,---,---,---,---,---,---
VABAS,Value Added (basic prices),282822,387883,411045,1217670,2811485,1362611,1466611,913494,1433532,5776949,3555564,2336711,1070640,569117,3153030,26749164,---,---,---,---,---,---
T018,Total industry output (basic prices),630332,695589,604806,2333007,7181984,2550230,2467185,1720386,2472947,9302220,5520554,3746635,2047750,996260,5145380,47415266,---,---,---,---,---,---
T00TOP,Taxes on products and imports,986,23870,35470,2896,29470,290403,305769,34730,44406,62234,56138,14200,140834,20274,976,1062656,---,---,---,---,---,---
T00SUB,Less: Subsidies on products,9631,---,0,---,508,---,0,4490,0,27565,---,6,---,---,48913,91114,---,---,---,---,---,---
VAPRO,Value Added (producer prices),274177,411753,446515,1220566,2840447,1653014,1772380,943734,1477938,5811618,3611702,2350905,1211474,589391,3105093,27720707,---,---,---,---,---,---
